Excel Name,System Code,Confidence
CB9779 BUJE POLIURETANO  PARA ENSAMBLAR 9779,NOT FOUND,0.0
CB9780 BUJE POLIURETANO  PARA ENSAMBLE 9780,NOT FOUND,0.0
CB9782 BUJE POLIURETANO PARA ENSAMBLE 9782,NOT FOUND,0.0
CB9795 BUJE PARA ENSAMBLE 9795,NOT FOUND,0.0
CB9796 BUJE PARA ENSAMBLE 9796,NOT FOUND,0.0
CB9813 BUJE BARRA TENSORA VOLVO 9813,NOT FOUND,0.0
CB9814 BUJE PARA ENSAMBLE 9814,NOT FOUND,0.0
CB9820 BUJE PARA ENSAMBLE 9820,NOT FOUND,0.0
CB9821 BUJE PARA ENSAMBLE 9821,NOT FOUND,0.0
CB9823 BUJE PARA ENSAMBLE 9823,NOT FOUND,0.0
CB9824 BUJE PARA ENSAMBLE 9824 ESCOPETA DE TOYOTA ,NOT FOUND,0.0
CB9826 BUJE PARA ENSAMBLE 9826 ESCOPETA DE TOYOTA ,NOT FOUND,0.0
CB9829 CB9829 BUJE BARRA ESTABILIZADORA NISSAN CAB,NOT FOUND,0.0
CB9830 BUJE PARA ENSAMBLE 9830,NOT FOUND,0.0
CB9831 BUJE PARA ENSAMBLE 9831,NOT FOUND,0.0
CB9834 BUJE PARA ENSAMBLE 9834,NOT FOUND,0.0
CB9837 BUJE PARA ENSAMBLE 9837 (BUJES MUÑECO ATOS),NOT FOUND,0.0
CB9851 BUJE PARA ENSAMBLE 9851 COUNTY,NOT FOUND,0.0
CB9858 BUJE PARA ENSAMBLE 9858,NOT FOUND,0.0
CB9859 BUJE PARA ENSAMBLE 9859,NOT FOUND,0.0
CB9861 BUJE PARA ENSAMBLE 9861,NOT FOUND,0.0
CB9867 BUJE PARA ENSAMBLE 9867 (9928),NOT FOUND,0.0
CB9873 BUJE POLIURETANO PARA ENSAMBLE 9873,NOT FOUND,0.0
CB9881B BUJE PARA 9881 BLANCO,NOT FOUND,0.0
CB9881N BUJE PARA 9881 NEGRO,NOT FOUND,0.0
CB9881V BUJE PARA 9881 VERDE CON PESTAÑA,NOT FOUND,0.0
CB9893 BUJE PARA ENSAMBLE 9893,NOT FOUND,0.0
CB9908 BUJE POLIURETANO ENSAMBLE 9908,NOT FOUND,0.0
CB9920 BUJE POLIURETANO PARA ENSAMBLE 9920,NOT FOUND,0.0
CB9923 9923 BUJE PARA ENSAMBLE 9923,NOT FOUND,0.0
CB9930 BUJE POLIURETANO ENSAMBLE 9930,NOT FOUND,0.0
CB9931 BUJE POLIURETANO ENSAMBLE 9931,NOT FOUND,0.0
CB9933 BUJE POLIURETANO ENSAMBLE 9933,NOT FOUND,0.0
CB9934 BUJE PARA ENSAMBLE 9934,NOT FOUND,0.0
CB9935 BUJE PARA ENSAMBLE 9935 ( templador de la s,NOT FOUND,0.0
CB9945 BUJE POLIURETANO ENSAMBLE 9945,NOT FOUND,0.0
CB9946 BUJE POLIURETANO PARA ENSAMBLE 9946,NOT FOUND,0.0
CB-9949 BUJE PARA ENSAMBLE  MUELLE VOLKSWAGEN AMAR,NOT FOUND,0.0
CB9959 BUJE POLIURETANO PARA ENSAMBLE 9959,NOT FOUND,0.0
CIM-007 BUJE PARA ENSAMBLE 97079,NOT FOUND,0.0
CIM93006HDR BUJE PARA ENSAMBLE 93006HDR,93006HDR,0.8
CIM93080 BUJE POLIURETANO PARA ENSAMBLE 93080,NOT FOUND,0.0
CIM97027 BUJE POLIURETANO PARA ENSAMBLE 97027,NOT FOUND,0.0
CIM97035 BUJE PARA ENSAMBLE 97035,NOT FOUND,0.0
CIM97039 BUJE POLIURETANO PARA ENSAMBLE 97039,NOT FOUND,0.0
CIM97040 BUJE POLIURETANO PARA ENSAMBLE 97040,NOT FOUND,0.0
CIM97060 BUJE PARA ENSAMBLE 97060,NOT FOUND,0.0
CIM97066 BUJE POLIURETANO PARA ENSAMBLE  97066,NOT FOUND,0.0
CIM97079 BUJE POLIURETANO PARA ENSAMBLE 97079,NOT FOUND,0.0
CIM97080 BUJE POLIURETANO PARA ENSAMBLE 97080,NOT FOUND,0.0
CIM98020 BUJE PARA ENSAMBLE 98020,NOT FOUND,0.0
CM7001 BUJE PARA ENSAMBLE 7001,NOT FOUND,0.0
CM7002SPA BUJE MT PARA ENSAMBLE 7002-SPA,7002-SP-B,0.8
CM7005 BUJE MT PARA ENSAMBLE 7005,7005-B,0.8
CM7005B BUJE PARA ENSAMBLE MT-7005-B,NOT FOUND,0.0
CM7008 BUJE MT PARA ENSAMBLE 7008,7008-B,0.8
CM7008B BUJE MT PARA ENSAMBLE 7008 BLANCO,NOT FOUND,0.0
CM7009 BUJE MT PARA ENSAMBLE 7009,7009-B,0.8
CM7009B BUJE PARA ENSAMBLE 7009 BLANCO,NOT FOUND,0.0
CM7010 BUJE MT PARA ENSAMBLE 7010,NOT FOUND,0.0
CM7011 BUJE MT PARA ENSAMBLE 7011,7011-B,0.8
CM7011B BUJE PARA ENSAMBLE MT 7011-B,NOT FOUND,0.0
CM7012 BUJE MT PARA ENSAMBLE 7012,NOT FOUND,0.0
CM7013 BUJE MT PARA ENSAMBLE 7013,7013-B,0.8
CM7013B BUJE PARA ENSAMBLE 7013 BLANCO,NOT FOUND,0.0
CM7014 BUJE MT PARA ENSAMBLE 7014,NOT FOUND,0.0
CM7015 BUJE PARA ENSAMBLE 7015,NOT FOUND,0.0
CM7016 BUJE PARA ENSAMBLE MT-7016,NOT FOUND,0.0
CM7017 BUJE PARA ENSAMBLE 7017,NOT FOUND,0.0
CM7018 BUJE PARA ENSAMBLE MT-7018,NOT FOUND,0.0
CM7019 BUJE PARA ENSAMBLE 7019,NOT FOUND,0.0
CM7021 BUJE PARA ENSAMBLE 7021,NOT FOUND,0.0
CM7022 BUJE PARA EMSAMBLE 7022,NOT FOUND,0.0
CM7023 BUJE PARA ENSAMBLE 7023,NOT FOUND,0.0
CM7024 BUJE PARA ENSAMBLE 7024,NOT FOUND,0.0
CM7025 BUJE PARA ENSAMBLE 7025,NOT FOUND,0.0
CM7029 BUJE PARA ENSAMBLE 7029,NOT FOUND,0.0
CM7030 BUJE MT PARA ENSAMBLE 7030,NOT FOUND,0.0
CM7032 BUJE MT PARA ENSAMBLE 7032,NOT FOUND,0.0
DE-1000 1000 BUJE TIJERA SALAMANDRA 3,NOT FOUND,0.0
FR-5000 5000 BUJE SUPLEMENTO PARA ESPIRAL  DE 90ML,NOT FOUND,0.0
FR-5001 5001 BUJE SUPLEMENTO DE AMORTIGUADOR UNIVE,7001,0.8
FR-5002 5002 BUJE SUPLEMETO AMORTIGUADOR TOYOTA HI,KIT-03-5002,0.95
FR-5002A 5002A  BUJE SUPLEMETO AMORTIGUADOR TOYOTA,NOT FOUND,0.0
FR-5002B 5002B  BUJE SUPLEMETO AMORTIGUADOR TOYOTA,NOT FOUND,0.0
FR-5003 5003 BUJE  SUPLEMENTO MAZDA BT-50 Y LUV DM,KIT-02-5003,0.95
FR-5004 5004 BUJE SUPLEMENTO DE 100mm UNIVERSAL,NOT FOUND,0.0
FR-5005 5005 BUJE SUPLEMENTO DELANTERO Y TRASERO S,7005,0.8
FR-5006 5006 BUJE SUPLEMENTO NISSAN FRONTIER NP 30,KIT-04-5006,0.95
FR-5008 5008 BUJE SUPLEMENTO FORD RANGER LIMITED 3,7008,0.8
FR-5009 5009 BUJE SUPLEMETO ELEVACION FORD 150,7009,0.8
FR-5014 5014 BUJE SUPLEMENTO AMORTIGUADOR TOYOTA_x,7014,0.8
FR-5015 5015 SUPLEMENTO TRASERA TOYOTA COROLLA CRO,7015,0.8
FR-6000 6000 BUJE SUPLEMENTO DE CARGA PARA TOYOTA ,NOT FOUND,0.0
FR-6000R 6000R BUJE SUPLEMENTO DE CARGA PARA TOYOT,NOT FOUND,0.0
FR-9001 9001 BUJE CONICO TRAILER GRANDE,9401,0.8
FR-9002 9002 BUJE TRAILER INCA CONICO,9402,0.8
FR-9003 9003 BUJE TRAILER QUINTA RUEDA,9403,0.8
FR-9004 9004 BUJE QUINTA RUEDA HOLAND HUECO PEQUEÑ,9404,0.8
FR-9006 9006 BUJE QUINTA RUEDA HOLLAND,97006,0.8
FR-9007 9007 BUJE PARA BARRA DE TORSION OEM 44695,FR-9007,0.95
FR-9008 9008 BUJE CORBATIN PARA BARRA DE TORSION 4,9408,0.8
FR-9301 9301 BUJE TORNILLO  AMORTIGUADOR Y ESTABIL,93013H,0.95
FR-9302 9302 BUJE PARA TORNILLO DE BARRA ESTABILIZ,93022,0.95
FR-9303 9303 BUJE MUELLE PARA TOYOTA LAND CRUISER ,93013H,0.8
FR-9304 9304 BUJE DE MUELLE BALANCIN PARA CHEVROLE,9830,0.8
FR-9305 9305 BUJE DE MUELLE HULE BALANCIN PARA SUZ,9835,0.8
FR-9306 9306 BUJE MUELLE HULE BALANCIN PARA ISUZO ,9306HDR,0.95
FR-9306HD 9306HD BUJE MUELLE HOJA NKR CON BUJE INT,9306HD,1.0
FR-9306HDR 9306HDR BUJE MUELLE NKR CARCAZA Y BUJE ,9306HDR,1.0
FR-9307 9307 BUJE MUELLE TOYOTA HILUX LARGO,9837,0.8
FR-9308 9308 BUJE DE MUELLE PARA SUZUKI ZAMURAI GR,93080,0.95
FR-9309 9309 BUJE MUELLE HULE DE BALANCIN PARA TOY,9830,0.8
FR-9310 9310 BUJE PARTE FIJA NISSAN D/21/ CHEVROLE,9831,0.8
FR-9311 9311 BUJE MUELLE BALANCIN MONTERO MITSUBIS,9831,0.8
FR-9312 9312 BUJE MUELLE BALANCIN MONTERO MITSUBIS,9831,0.8
FR-9313 9313 BUJE MUELLE PARA ISUZO NKR/MITSUBISHI,FR-9313H,0.95
FR-9313H 9313H BUJE MUELLE HOJA CON CARCAZA PARA M,9313H,1.0
"FR-9313HD 9313HD BUJE HOJA MUELLE HYUNDAHI HD 65, ",9313HD,1.0
FR-9314 9314 BUJE TIJERA BRAZO OXILANTE PARA CHEVR,9831,0.8
FR-9316 9316 BUJE BALANCIN MUELLE PARA MITSUBISHI ,9916,0.8
"FR-9317 9317 BUJE DE MUELLE PARA NISSAN 620,720 TR",9837,0.8
FR-9318 9318 BUJE CORTO DE MUELLE PARA NISSAN URBA,9831,0.8
FR-9319 9319 BUJE LARGO DE MUELLE (HULE BALANCIN) ,9831,0.8
FR-9320 9320 BUJE DE MUELLE BALANCIN PARA NISSAN D,9830,0.8
FR-9322 9322 BUJE MUELLE CON CARCAZA PARA ISUZ,9322,1.0
FR-9326 9326 BUJE MUELLE TOYOTA HILUX LARGO,9836,0.8
FR-9329 9329 BUJE BARRA ESTABILIZADORA TOYOTA HILU,9829,0.8
FR-9351 9351 BUJE ESTABILIZADORA NISSAN FRONTIER,9851,0.8
FR-9352 9352 BUJE ESTABILIZADORA NISSAN PATHFINDER,9835,0.8
FR-9355 9355 BUJE ESTABILIZADORA LAND CRUISER BURB,9835,0.8
FR-9360 9360 BUJE ESTABILIZADORA NISSAN D21,9836,0.8
"FR-9363 9363 BUJE ESTABILIZADORA LAND CRUISER 4,5",9836,0.8
FR-9378 9378 BUJE AMORTIGUADOR TOYOTA UNIVERSAL,9837,0.8
FR-9380 9380  BUJE MUELLE DELANTERO NPR ENSAMBLADO,9380,1.0
FR-9382 9382 BUJE MUELLE BALANCIN PARA TOYOTA LAND,9882,0.8
FR-9401 9401 BUJE CHEVROLET LUV 1600; 2000; 2300,9401,1.0
FR-9402 9402 BUJE  CHEVROLET LUV 1600,9402,1.0
FR-9403 9403 BUJE CHEVROLET SAMURAI,9403,1.0
FR-9404 9404 BUJE CHEVROLET SAMURAI,9404,1.0
FR-9405 9405 BUJE  OEM GJ2134158/54718-43000 CHEVR,9405,1.0
FR-9406 9406 BUJE OEM 111072881 CHEVROLET CHEVETTE,9406,1.0
"FR-9407 9407 BUJE DAEWOO RACER ESPERO, CIELO",9407,1.0
FR-9408 9408 BUJE OEM JI2134158/8AG1-34100 MAZDA 6,9408,1.0
FR-9409 9409 BUJE TORNILLO BARRA ESTABILIZADORA PA,9409,1.0
FR-9410 9410 BUJE TORNILLO BARRA ESTABILIZADORA MA,9410,1.0
"FR-9411 9411 BUJE MAZDA B1600, B2000,B2200",9411,1.0
FR-9412 9412 BUJE  CAMPERO GENERICO,9412,1.0
FR-9413 9413 BUJE CAMPEROS GENERICO,9413,1.0
FR-9414 9414 BUJE MITSUBISHI V6 3000,9414,1.0
"FR-9415 9415 BUJE TOYOTA LAND CRUISER 4,5L",9415,1.0
FR-9416 9416 BUJE  CAMPERO GENERICO,9416,1.0
FR-9417 9417 BUJE CAMPEROS GENERICO,9417,1.0
FR-9418 9418 BUJE TORNILLO BARRA ESTABILIZADORA MA,9418,1.0
FR-9419 9419 BUJE TORNILLO ESTABILIZADOR 5 1/2 SEP,9419,1.0
"FR-9420 9420 BUJE TOYOTA HILUX 2WD,4WD, RUNNER",9420,1.0
FR-9421 9421 BUJE TORNILLO ESTABILIZADOR MAZDA 323,9421,1.0
FR-9422 9422 BUJE MUÑECO MITSUBISHI MONTERO,9422,1.0
"FR-9423 9423 BUJE MUÑECO HYUNDAI ACCENT 5/16 ,  5 ",9423,1.0
FR-9430 9430 BUJE  MUÑECO RENAULT CLIO Y SYMBOL,9430,1.0
FR-9430 A 9430 A BUJE CON  PESTAÑA,9430,0.8
FR-9430 B 9430 B  BUJE MUÑECON SIN PESTAÑA,9430,0.8
FR-9430 C 9430 C BUJE CON FIGURA,9430,0.8
FR-9431 9431 BUJE TORNILLO BARRA ESTABILIZADORA TI,9431,1.0
"FR-9450 9450 BUJE MAZDA B1600, B2000, B2200",9450,1.0
FR-9451 9451 BUJE CAMPERO GENERICO,9451,1.0
FR-9452 9452 BUJE CAMPEROS GENERICO,9452,1.0
FR-9453 9453 BUJE MITSUBISHI V6 3000,9453,1.0
FR-9454 9454 BUJE TORNILLO BARRA ESTABILIZADORA MA,9454,1.0
FR-9455 9455 BUJE MUÑECO MITSUBISHI MONTERO,9455,1.0
"FR-9456 9456 BUJE TOYOTA HILUX 2WD,4WD, RUNNER",9456,1.0
FR-9457 9457 BUJE CAMPERO GENERICO,9457,1.0
FR-9458 9458 BUJE CHEVROLET SAMURAI,9858,0.8
FR-9459 9459 BUJE CHEVROLET SAMURAI,9859,0.8
FR-9460 9460 BUJE OME GJ2134158/54718-43000 CHEVRO,9460,1.0
"FR-9461 9461 BUJE OEM 11072881 CHEVROLET CHEVETTE,",9461,1.0
"FR-9462 9462 BUJE OEM 11087522 DAEWOO RACER, ESPER",9462,1.0
FR-9463 9463 BUJE OEM JI2134158/8AG1-34100 MAZDA 6,9467,0.8
FR-9464 9464 BUJE TORNILLO BARRA ESTABILIZADORA MA,9464,1.0
"FR-9465 9465 BUJE TOYOTA LAND CRUISER 4,5L",9845,0.8
FR-9466 9466 BUJE CAMPEROS GENERICO,9766,0.8
FR-9467 9467 BUJE TORNILLO ESTABILIZADOR NISSAN DA,9467,1.0
"FR-9468 9468 BUJE MUÑECO HYUNDAI ACCENT 5/16, 5 1/",9467,0.8
FR-9469 9469 BUJE TORNILLO PARA BARRA ESTABILIZADO,9467,0.8
FR-9609 9609 RB-410 BUJE MUELLE PARTE FIJA CHEVROL,9760,0.8
FR-9622 9622 BUJE MUELLE SUAVIZADOR UNIVERSAL,9462,0.8
FR-9628 9628 BUJE MUELLE HULE BALANCIN CORTO PARA ,9462,0.8
FR-9629 9629 BUJE MUELLE HULE BALANCIN LARGO PARA ,9829,0.8
FR-9630 9630 BUJE INFERIOR BALANCIN MUELLE TRASERO,9830,0.8
FR-9631 9631 BUJE AMORTIGUADOR DE 1 PARA MERCEDES ,9861,0.8
FR-9632 9632 BUJE SUSPENSION PARA BARRA ESTABILIZA,9462,0.8
FR-9632N 9632N BUJE SUSPENSION PARA BARRA ESTABILI,NOT FOUND,0.0
FR-9633 9633 BUJE COMPENSADOR AMORTIGUADOR UNIVERS,NOT FOUND,0.0
FR-9634 9634 BUJE CONICO PARA AMORTIGUADOR MEDIANO,9864,0.8
FR-9636 9636 BUJE TIJERA SPRINT,9836,0.8
FR-9640 9640 BUJE BARRA ESTABILIZADORA LUV DMAX,9864,0.8
FR-9658 9658 BUJE MUELLE BALANCIN RB-414 SOLO POLI,9858,0.8
FR-9672 9672 BUJE MUELLE BALANCIN PARA NKR/NHR POL,9782,0.8
FR-9701 9701 BUJE CHANA HAFEI SUSPENSION,97012,0.95
FR-9702 9702 BUJE TOYOTA NEW HILUX VIGO 2007 LARGO,97021,0.95
FR-9703 9703 BUJE TOYOTA HILUX VIGO 2007 CORTO,97039,0.95
FR-9704 9704 BUJE MUELLE CHEVROLET N200 CHANA CORT,97040,0.95
FR-9705 9705 BUJE MUELLE PARTE FIJA CHINOS,97035,0.8
FR-9706 9706 BUJE BALANCIN DELANTERO HYUNDAI ENSAM,9706,1.0
FR-9707 9707 BUJE BALANCIN HYUNDAI CONTY ENSAMBLAD,9707,1.0
FR-9708 9708 BUJE BALANCIN MUELLE DAIHATSU F-20,97080,0.95
FR-97089 97089 BUJE BARRA ESTABILIZADORA RENAULT S,97080,0.8
FR-9709 9709 BUJE TEMPLETE PARA CHINOS TODAS LAS S,97079,0.8
FR-9710 9710 BUJE AMORTIGUADOR DELANTERO TOYOTA NE,9780,0.8
FR-9711 9711 BUJE PARTE FIJA DAIHATSU F-20 TODOS -,9721,0.8
FR-9712 9712 BUJE PARTE FIJA HYUNDAI CON INTERNO,9712,1.0
FR-9713 9713 BUJE PARTE TENSORA TRAILER ORINOCO,9873,0.8
FR-9714 9714 BUJE SUAVIZADOR MEDIANO,9814,0.8
FR-9715 9715 BUJE SUAVIZADOR GRANDE,9815,0.8
FR-9716 9716 BUJE SUAVIZADOR PEQUEÑO,9916,0.8
FR-9717 9717 BUJE PARA TENSORA TRAILER ORINOCO GRA,9779,0.8
FR-9718 9718 BUJE BALANCIN FOTON CAMION,9782,0.8
FR-9719 9719 BUJE FOTON (AUMARK),9796,0.8
FR-9720 9720 BUJE PARTE FIJA FRONTIER GRUESO,9820,0.8
FR-9721 9721 BUJE CHASIS NPR 39 mm (ENSAMBLADO),9721,1.0
FR-9722 9722 RB 413 BUJE PARTE FIJA NPR 2011,9782,0.8
FR-9723 9723 RB 440 BUJE PARTE FIJA NPR 2011,9873,0.8
FR-9724 9724 BUJE BALANCIN NISSAN FRONTIER,9782,0.8
FR-9725 9725 BUJE DAIHATSU F20 LARGO,9795,0.8
FR-9726 9726 BUJE ESTABILIZADORA VIGO HIACE,9796,0.8
FR-9727 9727 BUJE TIJERA INFERIOR PEQUEÑO NISSAN T,9727,1.0
FR-9728 9728 BUJE NPR TAPAS,9782,0.8
FR-9729 9729 BUJE MUELLE PARTE FIJA NISSAN FRONTIE,9829,0.8
FR-9730 9730 BUJE NKR-NHR CHASIS,9873,0.8
FR-9731 9731 BUJE MUELLE CHEVROLET N300 2015 Corto,9873,0.8
FR-9732 9732 BUJE MUELLE TOYOTA MONJITA VENEZOLANA,9873,0.8
FR-9733 9733 BUJE MUELLE NISSAN SUPER URBAN LARGO,9873,0.8
FR-9734 9734 BUJE MUELLE NISSAN SUPER URBAN CORTO,9873,0.8
FR-9735 9735 BUJE TIJERA MAZDA Y FORD RANGER BT-50,9735,1.0
FR-9736 9736 BUJE MUELLE NISSAN NAVARA LARGO,9873,0.8
FR-9737 9737 BUJE SUAVIZADOR MERCEDES BENZ,9873,0.8
FR-9738 9738 BUJE MUELLE PARTE FIJA MAZDA SERIE B ,9873,0.8
FR-9738R 9738R BUJE MUELLE PARTE FIJA MAZDA SERIE ,NOT FOUND,0.0
FR-9739 9739 BUJE MUELLE ISUZO NHR/NKR TAPAS,9739,1.0
FR-9740 9740 BUJE SUPERIOR DE TIJERA DE LUV 2300,9740,1.0
FR-9741 9741 BUJE BALANCIN LARGO TOYOTA HIACE,9740,0.8
FR-9742 9742 BUJE BARRA ESTABILIZADORA HINO PEQUEÑ,9782,0.8
FR-9743 9743 BUJE BARRA ESTABILIZADORA HINO GRANDE,9873,0.8
FR-9744 9744  BUJE BALANCIN FORD RANGER CORTO 2015,9740,0.8
FR-9745 9745 BUJE BALANCINFORD RANGER MODELO 2015 ,9845,0.8
FR-9746 9746 BUJE BARRA TEMPLETE HINO,9796,0.8
FR-9747 9747 BUJE TOYOTA LAND CRUISER VENEZOLANA,9779,0.8
FR-9748 9748 BUJE SUAVISADOR HOJA ECUADOR,9782,0.8
FR-9749 9749 BUJE  SUAVISADOR DMAX,9796,0.8
FR-9750 9750 BUJE PARTE FIJA VIGO 23MM (BUJE ENSAM,9850,0.8
FR-9751 9751 BUJE BARRA ESTABILIZADORA FORD CARGO,9851,0.8
FR-9752 9752 BUJE BARRA ESTABILIZADORA MAZDA BT-50,9795,0.8
FR-9753 9753 BUJE MUELLE MERCEDES BENZ ATEGO 1725 ,9873,0.8
FR-9754 9754 BUJE MUELLE MERCEDES BENZ ATEGO LO 17,9795,0.8
FR-9755 9755 BUJE MUELLE MERCEDES BENZ LO-814,9795,0.8
FR-9756 9756 BUJE PUNTA DE BARRA ESTABILIZADORA VO,9756,1.0
FR-9756 H 9756 H BUJE PUNTA DE BARRA ESTABILIZADOR,9756,0.8
FR-9756 M 9756 M BUJE PUNTA DE BARRA ESTABILIZADOR,9756,0.8
FR-9757 9757 BUJE BALANCIN N300 LARGO,9795,0.8
FR-9758 9758 BUJE MUELLE DAIHATSU DELTA,9858,0.8
FR-9759 9759 BUJE MUELLE DAIHATSU SUPER DELTA,9859,0.8
